index,buyer,year,place,address,N,E,yearStr
0,"Dr. Henry Wellesley, British, 1794 - 1866",1866,united kingdom,United Kingdom,55.378051,-3.435973,1866
1,"Wellesley Collection [sold, Christie's London, June 15, 1883, lot 152.]",1883,"London, united kingdom",London; UK,51.5073509,-0.1277583,1883
2,"Henry George Charles Lascelles, 6th Earl of Harewood, British, 1882 - 1947 and Mary Princess Royal and Countess of Harewood, British, 1897 - 1965",1925,united kingdom,United Kingdom,55.358050999999996,-3.431973,Unknown
3,"Private Collection (Westfield, New Jersey), sold to the J. Paul Getty Museum, 1983.",1983,"Westfield, united states",Westfield; Porterville; CA 93257; USA,36.09106310000001,-119.0445468,1983
4,Getty Museum collections,1983,The Getty Museum,The Getty Museum; LA; US,34.07890666552444,-118.47392373861906,1983
