index,buyer,year,place,address,N,E,yearStr
0,"Galerie de Bayser S.A. (Lausanne, Switzerland), sold to the J. Paul Getty Museum, 1984.",1984,"Lausanne, switzerland",Lausanne; Switzerland,46.5196535,6.6322734,1984
1,Getty Museum collections,1984,The Getty Museum,The Getty Museum; LA; US,34.07890666552444,-118.47392373861906,1984
