index,buyer,year,place,address,N,E,yearStr
0,"Comte Jacques de Bryas, French [sold, Galerie Georges Petit, Paris, April 4-6, 1898, lot 149.]",1898,"Paris, france",Paris; France,48.856614,2.3522219,1898
1,de Jonge Collection (Paris),1908,"Paris, france",Paris; France,48.870614,2.3542219,Unknown
2,"Mitchell Samuels, American, 1880 ? - 1959",1918,united states,United States,37.09024,-95.712891,1918
3,"Art Market (New York, New York), sold to the J. Paul Getty Museum, 1983.",1983,New York,New York; NY; USA,40.7127753,-74.0059728,1983
4,Getty Museum collections,1983,The Getty Museum,The Getty Museum; LA; US,34.0789066655244,-118.473923738619,1983
