index,buyer,year,place,address,N,E,yearStr
0,"François Boucher, French, 1703 - 1770, by gift to M. Denis, 1752.",1752,france,France,46.227638,2.213749,1752
1,"M. de Sireul (Paris, France) [sold, Boileau, Paris, December 3, 1781, lot 51.]",1781,Paris,Paris; France,48.856614,2.3522219,1781
2,"M. de Sireul (Paris, France) [sold, Boileau, Paris, December 3, 1781, lot 51.]",1781,Paris,Paris; France,48.852614,2.3622218999999998,1781
3,"Victorien Sardou (Paris, France) [sold, Galerie Georges Petit, Paris, April 27, 1909, lot 55.]",1909,Paris,Paris; France,48.860614,2.3722219,1909
4,"Victorien Sardou (Paris, France) [sold, Galerie Georges Petit, Paris, April 27, 1909, lot 55.]",1909,Paris,Paris; France,48.874614,2.3322219,1909
5,Getty Museum collections,1909,The Getty Museum,The Getty Museum; LA; US,34.07890666552444,-118.47392373861906,1909
