index,year,buyer,address,N,E
519903,1990,By American Decorative Arts Northampton Massachusetts January Chris Kennedy,Northampton; MA; USA,42.3250896,-72.6412013
5844,1955,Sitio Conte Coclé Province Panama,Coclé Province; Panama,8.53064975935705,-80.4338524599153
35646,1984,Michael Rosenfeld Gallery New York February,100 11th Ave; New York; NY 10011; USA,40.7461585,-74.0078203
