index,buyer,year,place,address,N,E,yearStr
0,"Private Dealer (Geneva, Switzerland), sold to the J. Paul Getty Museum, 1983.",1983,switzerland,Switzerland,46.818188,8.227511999999999,1983
1,"Private Dealer (Geneva, Switzerland), sold to the J. Paul Getty Museum, 1983.",1983,united states,United States,37.09024,-95.712891,1983
2,Getty Museum collections,1983,The Getty Museum,The Getty Museum; LA; US,34.07890666552444,-118.47392373861906,1983
