index,buyer,year,place,address,N,E,yearStr
0,"Narcisse Révil, French, 1779 - about 1844 [sold, Bonnefons de Lavialle, Paris, March 19, 1842, lot 67.]",1842,"Paris, france",Paris; France,48.877614,2.3112219,1842
1,"Paul Mathey (L.2100b), French, 1844 - 1929 (Paris, France)",1913,"Paris, france",Paris; France,48.855614,2.3662219,Unknown
2,"Galerie de Bayser S.A. (Lausanne, Switzerland), sold to the J. Paul Getty Museum, 1984.",1984,"Lausanne, switzerland",Lausanne; Switzerland,46.5196535,6.6322734,1984
3,Getty Museum collections,1984,The Getty Museum,The Getty Museum; LA; US,34.0789066655244,-118.473923738619,1984
