index,buyer,year,place,address,N,E,yearStr
0,"Henri Tersmitten [sold, de Bary and Yver, Amsterdam, September 23, 1754, lot 434.]",1754,"Amsterdam, netherlands",Amsterdam; Netherlands,52.3675734,4.9041389,1754
1,"T. Philipe (London, England)",1830,"London, united kingdom",London; UK,51.5073509,-0.1277583,Unknown
2,"Private Collection (London, England) [sold, Christie's, London, April 12, 1983, lot 155, to the J. Paul Getty Museum.]",1983,London,London; UK,51.5113509,-0.1157583,1983
3,Getty Museum collections,1983,The Getty Museum,The Getty Museum; LA; US,34.0789066655244,-118.473923738619,1983
