0,1990,By American Decorative Arts Northampton Massachusetts January Chris Kennedy,Northampton; MA; USA,42.3250896,-72.6412013
1,2008,John Axelrod Boston Massachusetts,55 Fruit St; Boston; MA 02114; USA,42.3631542,-71.0688334
2,2014,MFA October,465 Huntington Ave; Boston; MA 02115; USA,42.339381,-71.094048
