0,1984,Private Chicago Michael Rosenfeld Gallery New York February,100 11th Ave; New York; NY 10011; USA,40.7461585,-74.0078203
1,2011,John Axelrod Boston,539 Tremont St; Boston; MA 02116; USA,42.344691,-71.071407
2,2011,MFA,465 Huntington Ave; Boston; MA 02115; USA,42.339381,-71.094048
