index,buyer,year,place,address,N,E,yearStr
0,"Javier Goya y Bayeu, Spanish, 1784 - 1854 (Madrid, Spain), by inheritance from his father, Francisco de Goya, 1828; by inheritance to his son, Mariano Goya y Goicoechea, 1854.",1854,spain,Spain,40.46366700000001,-3.74922,1854
1,"Javier Goya y Bayeu, Spanish, 1784 - 1854 (Madrid, Spain), by inheritance from his father, Francisco de Goya, 1828; by inheritance to his son, Mariano Goya y Goicoechea, 1854.",1854,colombia,Colombia,4.570868,-74.297333,1854
2,"Valentín Carderera, Spanish, 1796 - 1880 and/or Federico de Madrazo y Kuntz, Spanish, 1815 - 1894",1905,spain,Spain,40.461667000000006,-3.7652200000000002,Unknown
3,"Franz W. Koenigs (L.1023a), 1881 - 1941 (Haarlem, Netherlands) [sold, Sotheby's, London, November 20, 1957, lot 72 to Mme. Beres.]",1957,"Haarlem, netherlands",Haarlem; Netherlands,52.3873878,4.6462194,1957
4,"Franz W. Koenigs (L.1023a), 1881 - 1941 (Haarlem, Netherlands) [sold, Sotheby's, London, November 20, 1957, lot 72 to Mme. Beres.]",1957,"London, united kingdom",London; UK,51.5073509,-0.1277583,1957
5,"Jean Davray (Paris, France)",1970,"Paris, france",Paris; France,48.856614,2.3522219,Unknown
6,"Private Collection (New Jersey, United States), sold to the J. Paul Getty Museum, 1984.",1984,united states,United States,37.09024,-95.712891,1984
7,Getty Museum collections,1984,The Getty Museum,The Getty Museum; LA; US,34.07890666552444,-118.47392373861906,1984
