index,year,buyer,address,N,E
0,1955,Sitio Conte Coclé Province Panama,Coclé Province; Panama,8.53064975935705,-80.4338524599153
1,1970,Manuel Miranda Pinto San Salvador El,San Salvador; El Salvador,13.697747065753,-89.2197892667165
2,1970,Paul Pasher New York,New York; NY; USA,40.7081377924307,-74.006948601335
3,1971,Edward H Merrin Gallery New York,724 5th Ave; New York; NY 10019; USA,"40.76909296160456, -73.96118398090161",-73.9746296
4,1971,MFA,465 Huntington Ave; Boston; MA 02115; USA,42.339381,-71.094048
