index,buyer,year,place,address,N,E,yearStr
0,"Comte Jacques de Bryas, French (Paris, France) [sold, Galeries Georges Petit, Paris, April 4-6, 1989, lot 58.]",1898,Paris,Paris; France,48.856614,2.3522219,1898
1,"Comte Jacques de Bryas, French (Paris, France) [sold, Galeries Georges Petit, Paris, April 4-6, 1989, lot 58.]",1898,Paris,Paris; France,48.842614,2.3322219,1898
2,"Pierre Decourcelle, French, 1856 - 1926 [sold, Galeries Georges Petit, Paris, May 29-30, 1911, lot 87.]",1911,"Paris, france",Paris; France,48.840614,2.3502219,1911
3,"Baron Edmond James de Rothschild, Austrian, 1845 - 1934",1930,austria,Austria,47.516231,14.550072,Unknown
4,Private Collection (France),1976,france,France,46.227638,2.213749,Unknown
5,"Wildenstein & Co. (New York), sold to the J. Paul Getty Museum, 1982.",1982,"New York, united states",New York; NY; USA,40.7127753,-74.0059728,1982
6,Getty Museum collections,1982,The Getty Museum,The Getty Museum; LA; US,34.07890666552444,-118.47392373861906,1982
