index,buyer,year,place,address,N,E,yearStr
0,"Private Collection (United States), sold to the J. Paul Getty Museum, 1984.",1984,united states,United States,37.09024,-95.712891,1984
1,Getty Museum collections,1984,The Getty Museum,The Getty Museum; LA; US,34.07890666552444,-118.47392373861906,1984
